Designator,Mid X,Mid Y,Rotation,Layer
C1,151.5,-108.60625,90.0,bottom
C10,141.5,-101.75,180.0,top
C11,157.1,-103.9,90.0,top
C12,141.5,-91.5,180.0,top
C13,141.5,-92.5,180.0,top
C14,141.5,-95.0,270.0,top
C15,143.4,-101.385,90.0,top
C16,147.4,-101.385,90.0,top
C17,150.25,-103.37,180.0,top
C18,153.2,-102.1,270.0,top
C19,155.9,-100.6,270.0,top
C2,156.2,-108.40625,90.0,bottom
C20,156.5,-97.865,0.0,bottom
C21,156.2,-101.565,180.0,bottom
C22,152.8,-92.1,0.0,bottom
C23,154.8,-94.4,90.0,bottom
C24,146.0,-92.4325,90.0,bottom
C25,148.5,-108.7,270.0,bottom
C3,158.0,-108.60625,90.0,bottom
C4,152.4,-116.75,90.0,bottom
C5,151.1,-115.15,90.0,bottom
C6,149.45,-114.9,270.0,bottom
C7,152.7,-118.5,180.0,bottom
C8,145.45,-117.5,180.0,bottom
C9,144.53,-119.18,0.0,bottom
D1,144.645,-118.575,270.0,top
D2,155.2225,-117.5775,90.0,bottom
D3,158.0,-100.535,90.0,top
F1,154.0,-116.375,90.0,top
F2,153.5,-111.9,180.0,top
J1,150.0,-125.0,0.0,top
J2,147.0125,-110.75,90.0,top
JP3,143.34,-96.0,90.0,bottom
L1,153.75,-111.85625,0.0,bottom
L2,146.3,-114.9,0.0,bottom
Q1,144.68,-111.62,90.0,bottom
Q2,155.7375,-109.5,0.0,top
Q4,155.2,-107.0,90.0,top
R1,151.75,-106.10625,180.0,bottom
R10,142.5,-107.0,180.0,bottom
R11,149.0,-122.25,90.0,bottom
R12,148.0,-122.3,90.0,bottom
R14,154.2,-102.1,90.0,top
R15,141.5,-100.55,0.0,top
R16,155.6,-122.0,90.0,bottom
R17,158.1,-105.9,90.0,top
R18,158.1,-103.65,270.0,top
R19,146.9,-105.0,180.0,top
R2,156.55,-105.4,0.0,bottom
R20,153.5,-104.5,90.0,top
R21,150.7,-106.4,90.0,top
R22,157.6,-111.25,0.0,top
R23,154.8,-96.8,270.0,bottom
R24,145.4,-100.235,0.0,top
R3,154.9,-105.35,90.0,bottom
R4,153.35,-105.5,90.0,bottom
R5,148.3,-125.1,270.0,bottom
R6,147.2,-125.1,270.0,bottom
R7,150.6,-126.0,0.0,bottom
R8,153.1,-120.4,90.0,bottom
R9,146.83,-120.68,90.0,bottom
RN1,148.5,-93.5,180.0,bottom
SW1,157.99,-124.0,270.0,top
SW2,142.01,-124.0,90.0,top
U1,155.3,-104.5,180.0,top
U2,149.88,-93.535,0.0,top
U3,151.35,-101.5,270.0,top
U5,150.0,-117.4,270.0,top
U6,152.1875,-94.5,0.0,bottom
U7,149.2,-118.75,0.0,bottom
U8,156.8,-99.75,270.0,bottom
U9,153.75,-108.85625,0.0,bottom
Y1,145.4,-101.985,180.0,top
